pid,year,month,day,weight,quantity,value
P004,2017,5,20,954060224,0,173502736
P004,2017,5,30,848509632,0,135878944
P004,2017,6,10,547756672,0,101126800
P004,2017,6,20,993130432,0,179593616
P004,2017,6,30,933186176,0,161685824
P004,2017,7,10,683845888,0,118926144
P004,2017,7,20,868788352,0,137168976
P004,2017,7,30,492961536,0,72482768
P004,2017,8,10,663365120,0,111329208
P004,2017,8,20,558826752,0,85906056
P004,2017,8,30,515084192,0,79099848
P004,2017,9,10,745906048,0,128286784
P004,2017,9,20,599184896,0,93919240
P004,2017,9,30,1066330368,0,167976480
P004,2017,10,10,527475680,0,88468784
P004,2017,10,20,950674432,0,163007568
P004,2017,10,30,577105984,0,94340520
P004,2017,11,10,424155072,0,79353320
P004,2017,11,20,938565376,0,168334816
P004,2017,11,30,959754560,0,165608832
P004,2017,12,10,424246848,0,71513592
P004,2017,12,20,841710080,0,141879664
P004,2017,12,30,496876704,0,84220864
P004,2018,1,10,668346752,0,122168944
P004,2018,1,20,789625344,0,148384640
P004,2018,1,30,718891200,0,133036744
P004,2018,2,10,385412992,0,70337088
P004,2018,2,20,701930496,0,132768960
P004,2018,2,30,589072128,0,118240872
P004,2018,3,10,1179834368,0,228532544
P004,2018,3,20,817740032,0,165308144
P004,2018,3,30,633628864,0,120813936
P004,2018,4,10,842079296,0,162510208
P004,2018,4,20,942369664,0,190564064
P004,2018,4,30,635495616,0,125942416
P004,2018,5,10,525969696,0,97248336
P004,2018,5,20,829904640,0,146202944
P004,2018,5,30,451310656,0,84661096
P004,2018,6,10,473583744,0,80131904
P004,2018,6,20,708434752,0,120287576
P004,2018,6,30,616377280,0,108445592
P004,2018,7,10,680561984,0,122488552
P004,2018,7,20,571292096,0,100673064
P004,2018,7,30,846345472,0,148223312
P004,2018,8,10,616791488,0,99789376
P004,2018,8,20,461719808,0,82574296
P004,2018,8,30,771245120,0,137967744
P004,2018,9,10,572539200,0,98437776
P004,2018,9,20,1055701632,0,185368512
P004,2018,9,30,538594816,0,95527040
P004,2018,10,10,705552320,0,121556208
P004,2018,10,20,479511392,0,83331400
P004,2018,10,30,738883136,0,132543736
P004,2018,11,10,863838976,0,157764800
P004,2018,11,20,435740128,0,80488336
P004,2018,11,30,617556864,0,113287536
P004,2018,12,10,781193728,0,145720112
P004,2018,12,20,586508096,0,108763048
P004,2018,12,30,801833408,0,147994464
P004,2019,1,10,680697728,0,135210224
P004,2019,1,20,463800448,0,87004544
P004,2019,1,30,593128384,0,114404320
P004,2019,2,10,355015008,0,63238996
